cik,period,revenue,net_income,total_assets,total_liabilities,operating_cash_flow,current_assets,current_liabilities,revenue_growth_qoq,net_margin,current_ratio,debt_to_assets
1090872,2021-Q2,2595000000.0,298000000.0,9627000000.0,4754000000.0,254000000.0,3415000000.0,1467000000.0,,0.11483622350674373,2.3278800272665303,0.49381946608496935
1090872,2021-Q3,3856000000.0,497000000.0,9627000000.0,4754000000.0,544000000.0,3415000000.0,1467000000.0,0.48593448940269757,0.12889004149377592,2.3278800272665303,0.49381946608496935
1090872,2022-Q1,1548000000.0,288000000.0,10705000000.0,5316000000.0,238000000.0,3799000000.0,1708000000.0,-0.5985477178423236,0.18604651162790697,2.2242388758782203,0.49659037832788416
1090872,2022-Q2,3073000000.0,504000000.0,10705000000.0,5316000000.0,710000000.0,3799000000.0,1708000000.0,0.9851421188630491,0.16400911161731208,2.2242388758782203,0.49659037832788416
1090872,2022-Q3,4659000000.0,768000000.0,10705000000.0,5316000000.0,1044000000.0,3799000000.0,1708000000.0,0.5161080377481289,0.1648422408242112,2.2242388758782203,0.49659037832788416
1090872,2023-Q1,1674000000.0,283000000.0,10532000000.0,5227000000.0,255000000.0,3778000000.0,1861000000.0,-0.6406954282034771,0.16905615292712067,2.030091348737238,0.49629699962020507
1090872,2023-Q2,3281000000.0,557000000.0,10532000000.0,5227000000.0,538000000.0,3778000000.0,1861000000.0,0.9599761051373954,0.16976531545260592,2.030091348737238,0.49629699962020507
1090872,2023-Q3,4999000000.0,886000000.0,10532000000.0,5227000000.0,864000000.0,3778000000.0,1861000000.0,0.5236208473026516,0.17723544708941788,2.030091348737238,0.49629699962020507
1090872,2024-Q1,1756000000.0,352000000.0,10763000000.0,4918000000.0,296000000.0,4186000000.0,1603000000.0,-0.6487297459491899,0.20045558086560364,2.611353711790393,0.45693579856917216
1090872,2024-Q2,3473000000.0,654000000.0,10763000000.0,4918000000.0,694000000.0,4186000000.0,1603000000.0,0.9777904328018223,0.18830981860063345,2.611353711790393,0.45693579856917216
1090872,2024-Q3,5145000000.0,765000000.0,10763000000.0,4918000000.0,1256000000.0,4186000000.0,1603000000.0,0.4814281600921393,0.14868804664723032,2.611353711790393,0.45693579856917216
1090872,2025-Q1,1658000000.0,348000000.0,11846000000.0,5948000000.0,485000000.0,3959000000.0,1895000000.0,-0.6777453838678329,0.20989143546441497,2.0891820580474936,0.5021104170184029
1090872,2025-Q2,3231000000.0,656000000.0,11846000000.0,5948000000.0,818000000.0,3959000000.0,1895000000.0,0.9487334137515078,0.20303311668214175,2.0891820580474936,0.5021104170184029
1090872,2025-Q3,4809000000.0,938000000.0,11846000000.0,5948000000.0,1270000000.0,3959000000.0,1895000000.0,0.488393686165274,0.1950509461426492,2.0891820580474936,0.5021104170184029
1090872,2026-Q1,1681000000.0,318000000.0,12727000000.0,5986000000.0,431000000.0,4594000000.0,2347000000.0,-0.6504470783946766,0.18917311124330755,1.9573924158500213,0.470338650113931
