period,finding_count,high_severity_count,avg_score_adjusted,sum_score_adjusted,sum_score_penalty,top_finding_category
2024-Q1,6,5,2.691700045155542,16.15020027093325,1.2,strong_shift
2024-Q2,4,3,2.558234403012406,10.232937612049623,0.0,strong_shift
2025-Q2,4,2,2.128465287092785,8.51386114837114,0.0,moderate_shift
2023-Q3,4,1,1.8682525279251525,7.47301011170061,0.0,moderate_shift
2023-Q2,3,2,2.4186731407070776,7.256019422121232,0.0,strong_shift
2024-Q3,4,0,1.3700584098493436,5.480233639397374,0.5,moderate_shift
2025-Q3,4,0,1.3298346011852433,5.319338404740973,0.0,moderate_shift
2023-Q1,2,2,2.6384561206340593,5.276912241268119,0.0,strong_shift
2025-Q1,3,1,1.5157732001745512,4.547319600523654,0.0,moderate_shift
2022-Q3,3,0,1.2705739183862093,3.8117217551586275,0.5,moderate_shift
2026-Q1,2,1,1.7309568324399134,3.4619136648798268,0.0,moderate_shift
2022-Q1,2,1,1.1821173671689138,2.3642347343378276,1.7,self_relative
